"","Continent","Year","Meningitis","Alzheimer_Disease_and_Other_Dementias","Parkinsons_Disease","Nutritional_Deficiencies","Malaria","Drowning","Interpersonal_Violence","Maternal_Disorders","HIV_AIDS","Drug_Use","Tuberculosis","Cardiovascular_Diseases","Lower_Respiratory_Infections","Neonatal_Disorders","Alcohol_Use","Self_Harm","Exposure_to_Nature","Diarrheal_Diseases","Environmental_Exposure","Neoplasms","Conflicts_and_Terrorism","Diabetes","Chronic_Kidney_Disease","Poisonings","Protein_Malnutrition","Road_Injuries","Chronic_Respiratory_Diseases","Cirrhosis","Digestive_Diseases","Fire","Acute_Hepatitis"
"142","Oceania",2011,835,10829,2525,483,1499,880,1257,898,3846,823,1837,74359,11081,5131,667,3849,222,4041,83,60183,11,10305,5817,215,447,4287,17931,3033,8170,848,128
"143","Oceania",2012,834,11161,2576,476,1369,875,1481,870,3874,851,1839,74337,11272,5158,672,3889,104,4042,80,61044,1,10400,6020,214,444,4258,18318,3081,8316,832,126
"144","Oceania",2013,808,11484,2626,470,1711,878,1384,855,3837,898,1843,74525,11427,5218,682,3942,19,4030,78,62144,3,10416,6261,211,439,4208,18711,3181,8508,836,126
"145","Oceania",2014,798,11868,2710,469,1507,879,1397,863,3779,975,1857,76222,11676,5248,703,4083,68,4019,93,63833,4,10631,6576,213,437,4258,19349,3301,8793,842,126
"146","Oceania",2015,771,12262,2789,490,983,882,1437,884,3790,1045,1877,78074,11883,5291,725,4200,39,3974,76,65303,3,10950,6877,216,456,4361,19961,3412,9067,848,124
"147","Oceania",2016,761,12614,2828,465,1510,888,1413,873,3898,1097,1867,78932,12125,5330,741,4129,58,3968,75,66072,1,11196,7035,216,432,4392,20266,3422,9166,863,123
"148","Oceania",2017,741,12976,2905,467,1452,893,1441,875,3989,1136,1876,81359,12246,5353,753,4069,12,4022,77,67746,0,11570,7148,223,429,4462,20759,3463,9328,881,123
"149","Oceania",2018,728,13442,3033,470,1042,896,1470,885,4035,1186,1884,84831,12423,5377,767,4101,190,3968,79,70603,2,12105,7421,231,432,4560,21550,3553,9633,898,125
"150","Oceania",2019,718,13945,3127,472,1016,897,1482,888,4058,1230,1890,87344,12565,5404,777,4124,16,3923,80,72632,0,12559,7643,234,434,4628,22114,3608,9842,909,125
"151","South_America",1990,12944,28405,6734,27871,7347,18005,77420,8429,10878,506,31069,518237,132269,139770,7223,19327,397,65407,473,264826,4024,47933,36113,1711,26276,72078,69950,46720,92242,5642,900
"152","South_America",1991,12493,29688,6904,26669,7894,17563,81517,7987,13211,517,29642,515475,127522,133999,7446,19531,497,63346,477,269363,4575,49391,36748,1665,25157,71987,71247,46678,92162,5525,868
"153","South_America",1992,12086,31221,7240,25996,8030,17327,82323,7790,15813,532,29123,523614,126224,129699,7705,19971,348,58501,442,278063,4581,51745,38345,1648,24531,72414,74383,47537,93620,5391,852
"154","South_America",1993,11895,32890,7632,25271,6312,17234,86710,7695,18882,553,28409,534792,125864,125856,7990,20704,1046,54756,434,287673,1289,54556,40022,1611,23824,73831,78430,48911,95676,5331,833
"155","South_America",1994,11529,34535,7899,24576,5505,17166,88113,7842,21947,572,27297,536109,124054,122205,8262,21309,324,50620,421,295012,2284,56452,41439,1560,23186,74871,80861,49695,96551,5208,806
"156","South_America",1995,11183,36337,8235,24170,6035,16911,90434,7156,24137,598,26500,538870,123122,119367,8506,21875,458,46387,440,303001,1977,58345,43465,1508,22819,75690,84152,50527,97662,5131,757
"157","South_America",1996,10728,38224,8560,24105,4165,16791,92050,6936,24856,617,25394,542835,121449,116885,8798,22513,374,42614,364,312145,2354,59891,45801,1477,22762,76320,87838,51180,98847,5052,731
"158","South_America",1997,10089,40222,8863,23810,4103,16406,93298,6727,23642,633,23886,538927,119155,114282,9127,23104,1021,38932,345,318869,2271,60711,48106,1415,22471,75344,90095,51417,98802,4940,675
"159","South_America",1998,9580,42461,9325,23940,4883,15994,97563,6584,22592,652,22857,547076,119040,112195,9392,24031,944,36158,333,329690,2101,63018,51279,1366,22567,74587,94352,52394,100421,4821,637
"160","South_America",1999,8678,44670,9706,23811,3984,15613,100218,6407,23012,647,21731,551805,118341,109564,9675,24683,31459,33001,331,339207,2359,65534,54250,1320,22410,74042,97196,53103,101668,4663,598
"161","South_America",2000,8068,46857,10025,23286,4303,15251,107863,6139,23588,660,20641,550814,117229,107532,9948,24995,573,29800,393,346938,2189,67372,56649,1271,21884,73341,97951,53625,102661,4585,581
"162","South_America",2001,7642,49185,10445,22889,3606,14997,111975,5868,24447,680,19564,556106,117592,105254,10178,25459,609,27623,338,355952,2488,69203,58955,1222,21456,73516,100037,54565,104514,4722,561
"163","South_America",2002,7323,51864,11039,22584,2511,15009,119698,5880,24931,709,18936,571313,120067,103008,10433,26057,650,26222,329,369985,3248,72282,62367,1215,21130,75039,103405,56163,107826,4414,536
"164","South_America",2003,7065,54536,11532,22134,1963,14737,108044,5827,25916,738,18246,580425,123156,101585,10688,26188,631,25139,665,379763,1311,74518,64998,1201,20698,75658,105661,57341,110322,4326,526
"165","South_America",2004,6866,57112,11916,20955,1615,14473,103610,5724,25755,757,17527,583696,124537,98340,10980,26354,405,23314,415,386926,1645,75978,66475,1181,19578,76538,106853,58098,112065,4225,518
"166","South_America",2005,6606,59629,12210,19673,1615,14011,98954,5726,26045,788,16783,580926,124923,95039,11215,26409,409,21742,322,391640,1743,76787,67475,1153,18357,76713,106257,58344,112947,4148,505
"167","South_America",2006,6231,62432,12736,18648,1461,13780,99854,5525,26132,842,16193,591193,127962,92230,11434,26862,484,20174,314,402099,709,78932,69363,1113,17375,78193,107810,59706,115727,4051,504
"168","South_America",2007,6185,65362,13279,17874,1212,13539,98805,5406,26370,906,15648,600714,131708,90033,11639,27394,1204,18752,437,412143,486,81175,71554,1107,16633,79981,109742,61117,118460,4076,486
"169","South_America",2008,6086,68292,13762,17179,638,13411,101007,5348,26678,976,15370,608243,134920,87527,11797,27831,865,17569,310,421915,517,83272,73709,1092,15965,82038,111172,62437,121198,4018,467
"170","South_America",2009,6030,71526,14484,16804,643,13297,103616,5863,26810,1090,15472,622841,141939,84995,11877,28403,536,16611,589,435988,623,86197,77077,1094,15607,84242,114413,64298,125191,4045,450
"171","South_America",2010,5408,74813,15179,16480,735,12940,103355,5597,27140,1196,15158,633192,147364,82242,11955,28570,2048,15770,703,446355,529,88699,79981,1074,15295,85301,117609,65321,127978,4133,431
"172","South_America",2011,4966,77896,15762,15982,611,12544,102794,5400,27183,1308,14672,641243,151550,78703,11995,28871,3323,15060,381,455378,288,91414,82579,1057,14823,85759,119897,66289,130371,3982,416
"173","South_America",2012,4661,80805,16287,15577,642,12234,105827,5332,27439,1421,14290,646931,155311,75156,11928,29265,446,14600,552,464836,440,93604,85387,1047,14439,86135,121609,67181,132554,3970,399
"174","South_America",2013,4376,83817,16849,15300,629,11833,105974,5518,28350,1529,14056,655178,160555,71848,11888,29485,569,14322,321,474384,319,95936,88124,1038,14189,85647,123916,68072,134932,4292,390
"175","South_America",2014,4194,86858,17347,14946,488,11495,105574,5608,28883,1614,13921,663087,163810,68086,11819,29591,466,14031,801,482498,389,98004,90337,998,13863,84636,125920,68470,136735,3909,381
"176","South_America",2015,4047,90243,17996,14821,545,11213,105207,5597,29204,1685,13708,679017,168375,64030,11819,29914,630,13873,316,495078,312,101123,93418,980,13730,83114,129575,69723,139884,3812,375
"177","South_America",2016,3970,94314,18761,14870,650,11038,107108,5274,29074,1753,13481,703549,174586,60611,11932,30480,891,13846,296,512284,149,105539,97511,974,13766,82303,134224,71880,144411,3847,371
"178","South_America",2017,3852,98221,19241,14851,751,10780,106022,5164,28783,1785,13287,715062,174731,57640,12110,30511,1025,13756,297,521899,69,107894,99727,969,13755,80891,136823,72469,146118,3820,372
"179","South_America",2018,3757,101908,19752,15136,723,10675,103817,4943,28170,1795,13087,731815,174671,54480,12525,30474,60,13764,298,533756,149,111351,102301,967,14032,80709,140408,74061,149137,3867,376
"180","South_America",2019,3692,105549,20403,15441,877,10576,102513,4798,27498,1826,12999,754324,176741,52047,12900,30504,207,13881,301,549880,0,115478,105742,965,14322,80660,144870,76038,153047,3880,379
